Id	Plate	Row	Column	Clog	Scan.rate	Status.sort	Status.sel	TOF	EXT	Green	Yellow	Red	PH.Ext	PW.Ext	PH.Green	PW.Green	PCGreen	PH.Yellow	PW.Yellow	PCYellow	PH.Red	PW.Red	PCRed	Time.Stamp
1	1	A	1	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	A	1	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	A	1	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	A	2	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	A	2	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	A	2	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	1	A	3	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	1	A	3	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	1	A	3	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	A	4	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	A	4	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	A	4	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	A	5	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	A	5	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	A	5	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	1	A	6	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	1	A	6	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	1	A	6	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	1	A	7	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	1	A	7	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	1	A	7	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	1	A	8	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	1	A	8	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	1	A	8	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	A	9	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	A	9	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	A	9	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	1	A	10	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	1	A	10	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	1	A	10	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	1	A	11	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	1	A	11	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	1	A	11	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	1	A	12	1	1	6	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	1	A	12	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	1	A	12	1	1	0	1	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
