SNP	chr.num	chr.roman	WS244.pos
CE1-183	1	I	10069741
CE1-184	1	I	10163992
CE1-3	1	I	10170689
CE1-14	1	I	10238046
UCE1-1068	1	I	10331101
CE1-185	1	I	10366104
UCE1-1075	1	I	10427208
CE1-187	1	I	10533236
UCE1-1079	1	I	10535281
CE1-188	1	I	10614690
CE1-247	1	I	10722158
UCE1-1091	1	I	10722400
CE1-102	1	I	1079163
CE1-190	1	I	10793142
CE1-191	1	I	10924244
CE1-192	1	I	11077240
UCE1-1139	1	I	11133785
CE1-194	1	I	11263149
CE1-26	1	I	11283523
CE1-103	1	I	1130936
CE1-195	1	I	11330012
CE1-196	1	I	11415252
CE1-197	1	I	11494140
UCE1-1167	1	I	11600964
CE1-199	1	I	11648488
UCE1-1174	1	I	11648672
UCE1-1186	1	I	11722293
CE1-200	1	I	11737892
CE1-201	1	I	11805363
CE1-202	1	I	11875873
UCE1-1206	1	I	11912204
CE1-203	1	I	11956752
UCE1-1215	1	I	12080473
UCE1-1253	1	I	12166168
UCE1-1260	1	I	12205651
UCE1-1284	1	I	12334129
CE1-18	1	I	12365039
CE1-7	1	I	12433096
UCE1-1308	1	I	12456612
UCE1-1312	1	I	12498918
CE1-207	1	I	12567424
UCE1-1333	1	I	12612109
CE1-208	1	I	12654702
UCE1-1352	1	I	12655003
CE1-249	1	I	1265968
CE1-104	1	I	1272590
UCE1-1361	1	I	12729824
CE1-209	1	I	12738906
UCE1-1389	1	I	12873388
CE1-210	1	I	12936946
UCE1-1392	1	I	12967087
UCE1-1400	1	I	13140506
UCE1-1415	1	I	13219648
CE1-213	1	I	13294213
UCE1-1426	1	I	13375914
CE1-1	1	I	134126
UCE1-1433	1	I	13424265
UCE1-1448	1	I	13713134
CE1-10	1	I	13727565
CE1-217	1	I	13845130
CE1-248	1	I	13850057
CE1-218	1	I	13938775
CE1-219	1	I	14026319
CE1-220	1	I	14113178
UCE1-1512	1	I	14155589
CE1-221	1	I	14189381
UCE1-1518	1	I	14266541
CE1-222	1	I	14267225
CE1-258	1	I	14307038
UCE1-1540	1	I	14325188
CE1-250	1	I	1433303
CE1-223	1	I	14444012
CE1-237	1	I	1451409
CE1-108	1	I	1452096
UCE1-1555	1	I	14535072
UCE1-1557	1	I	14576690
UCE1-1565	1	I	14638558
CE1-225	1	I	14737603
UCE1-1573	1	I	14768030
CE1-11	1	I	14845874
CE1-227	1	I	14904802
UCE1-1602	1	I	14910551
UCE1-1612	1	I	15010607
CE1-252	1	I	1563140
CE1-172	1	I	1644596
UCE1-610	1	I	1644910
UCE1-616	1	I	1661176
UCE1-620	1	I	1823873
UCE1-515	1	I	183575
UCE1-624	1	I	2068166
UCE1-628	1	I	2162879
CE1-242	1	I	2310074
CE1-240	1	I	2318112
CE1-238	1	I	2318439
CE1-253	1	I	2448168
UCE1-652	1	I	2448380
UCE1-667	1	I	2538741
UCE1-682	1	I	2590695
UCE1-686	1	I	2653235
UCE1-694	1	I	2751594
UCE1-746	1	I	2837731
CE1-152	1	I	2852466
CE1-110	1	I	2949030
UCE1-526	1	I	303835
CE1-131	1	I	3100226
CE1-2	1	I	3123825
CE1-132	1	I	3180958
UCE1-762	1	I	3260998
CE1-161	1	I	3273271
CE1-133	1	I	3368660
UCE1-772	1	I	3433602
CE1-134	1	I	3445312
CE1-135	1	I	3502473
UCE1-777	1	I	3560132
CE1-136	1	I	3573191
CE1-254	1	I	3674998
UCE1-789	1	I	3684806
CE1-150	1	I	3806107
UCE1-796	1	I	3871122
UCE1-797	1	I	3890033
CE1-105	1	I	39041
CE1-137	1	I	3989629
CE1-146	1	I	4078433
CE1-138	1	I	4175487
CE1-122	1	I	4237066
CE1-123	1	I	4338252
UCE1-829	1	I	4436682
UCE1-835	1	I	4516442
CE1-124	1	I	4533146
CE1-228	1	I	4590527
UCE1-848	1	I	4651938
UCE1-855	1	I	4696914
CE1-106	1	I	470143
CE1-125	1	I	4845514
UCE1-542	1	I	491763
UCE1-863	1	I	4976879
UCE1-864	1	I	4977200
UCE1-869	1	I	5052407
CE1-151	1	I	5083458
UCE1-871	1	I	5196015
UCE1-875	1	I	5428703
CE1-256	1	I	5521984
UCE1-501	1	I	55881
CE1-127	1	I	5626781
CE1-107	1	I	562689
UCE1-887	1	I	5683303
CE1-128	1	I	5715297
CE1-19	1	I	5756860
CE1-130	1	I	5885306
CE1-163	1	I	6070814
CE1-145	1	I	6166275
CE1-173	1	I	6256994
CE1-112	1	I	6351803
UCE1-557	1	I	637474
UCE1-906	1	I	6385320
CE1-144	1	I	6593042
CE1-113	1	I	6651082
CE1-257	1	I	6724980
CE1-171	1	I	6795673
CE1-165	1	I	7057032
CE1-114	1	I	7118752
UCE1-924	1	I	7254665
CE1-166	1	I	7273652
CE1-28	1	I	7410355
CE1-115	1	I	7436829
UCE1-927	1	I	7478907
CE1-160	1	I	7492498
CE1-116	1	I	7581805
UCE1-935	1	I	7628157
CE1-117	1	I	7677536
UCE1-941	1	I	7759537
CE1-118	1	I	7833563
CE1-24	1	I	7886023
CE1-149	1	I	7899299
CE1-233	1	I	7916198
CE1-232	1	I	7917218
CE1-231	1	I	7918001
CE1-234	1	I	7934585
CE1-236	1	I	7937798
CE1-235	1	I	7938296
UCE1-574	1	I	796692
CE1-119	1	I	7997352
UCE1-955	1	I	8069196
CE1-120	1	I	8083413
CE1-153	1	I	8158564
UCE1-967	1	I	8203505
CE1-27	1	I	825026
CE1-17	1	I	8278637
CE1-170	1	I	8292948
CE1-139	1	I	8361431
UCE1-972	1	I	8455570
UCE1-977	1	I	8540004
CE1-154	1	I	8550716
CE1-158	1	I	8642739
CE1-21	1	I	8646304
UCE1-987	1	I	8730375
CE1-157	1	I	8828155
UCE1-997	1	I	8842911
CE1-159	1	I	884389
CE1-162	1	I	8920670
CE1-140	1	I	9026464
UCE1-1010	1	I	9101085
UCE1-1013	1	I	9126239
CE1-141	1	I	9190202
CE1-142	1	I	9279944
CE1-143	1	I	9372163
CE1-176	1	I	9471290
CE1-177	1	I	9561574
CE1-8	1	I	9603896
UCE1-1038	1	I	9657799
CE1-179	1	I	9743549
CE1-20	1	I	9759703
CE1-180	1	I	9838710
CE1-101	1	I	984038
UCE1-1050	1	I	9882159
CE1-181	1	I	9899728
CE1-244	1	I	990149
CE1-182	1	I	9958073
CE2-180	2	II	10013275
CE2-14	2	II	10051451
UCE2-1879	2	II	10073315
CE2-181	2	II	10180861
UCE2-1883	2	II	10201103
CE2-182	2	II	10244804
UCE2-1884	2	II	10315619
CE2-183	2	II	10328505
CE2-184	2	II	10414168
UCE2-653	2	II	1043218
UCE2-1897	2	II	10437365
CE2-185	2	II	10507029
CE2-3	2	II	10665818
CE2-186	2	II	10695028
CE2-187	2	II	10759158
UCE2-1939	2	II	10821883
UCE2-1946	2	II	10900135
CE2-188	2	II	10928943
UCE2-1949	2	II	10993623
CE2-189	2	II	11021073
UCE2-1985	2	II	11260931
UCE2-1991	2	II	11305582
CE2-12	2	II	11359226
UCE2-2012	2	II	11413777
CE2-192	2	II	11492171
UCE2-702	2	II	1156980
CE2-193	2	II	11589498
UCE2-705	2	II	1158964
UCE2-2019	2	II	11590790
UCE2-2020	2	II	11619253
CE2-194	2	II	11671955
UCE2-2028	2	II	11709833
CE2-195	2	II	11749256
UCE2-2047	2	II	11833729
CE2-196	2	II	11908334
CE2-237	2	II	11910256
UCE2-2058	2	II	12008179
CE2-197	2	II	12008345
UCE2-2081	2	II	12109462
CE2-198	2	II	12181234
UCE2-2092	2	II	12280369
UCE2-728	2	II	1228803
CE2-31	2	II	12350541
CE2-17	2	II	12419580
CE2-201	2	II	12471133
UCE2-2119	2	II	12522648
CE2-202	2	II	12567913
UCE2-2137	2	II	12654716
UCE2-2141	2	II	12659977
CE2-204	2	II	12734720
CE2-245	2	II	12787837
UCE2-742	2	II	1284033
UCE2-2150	2	II	12889513
UCE2-2153	2	II	12955857
CE2-205	2	II	12986629
UCE2-2169	2	II	13076591
CE2-206	2	II	13081987
UCE2-2174	2	II	13123798
CE2-207	2	II	13178810
UCE2-2182	2	II	13181705
UCE2-2192	2	II	13213485
CE2-208	2	II	13279530
UCE2-2227	2	II	13409083
UCE2-2243	2	II	13419095
UCE2-2248	2	II	13516355
CE2-210	2	II	13601254
CE2-211	2	II	13694662
CE2-238	2	II	13813123
UCE2-2279	2	II	13874519
UCE2-2281	2	II	13927252
CE2-233	2	II	13980654
UCE2-2289	2	II	14040961
CE2-214	2	II	14041134
CE2-108	2	II	1407379
CE2-215	2	II	14132575
CE2-216	2	II	14204646
UCE2-2306	2	II	14276218
UCE2-2313	2	II	14358558
UCE2-2326	2	II	14490878
UCE2-2332	2	II	14543467
CE2-219	2	II	14580904
UCE2-2338	2	II	14636334
UCE2-2339	2	II	14649955
CE2-221	2	II	14772528
CE2-29	2	II	14856444
CE2-109	2	II	1486584
UCE2-2385	2	II	14940758
CE2-222	2	II	14955754
CE2-223	2	II	15025491
UCE2-2397	2	II	15025714
UCE2-2400	2	II	15101387
UCE2-778	2	II	1593566
UCE2-843	2	II	1708758
UCE2-856	2	II	1750141
CE2-225	2	II	180755
UCE2-915	2	II	1808240
UCE2-947	2	II	1939184
UCE2-508	2	II	193948
CE2-114	2	II	2065809
CE2-115	2	II	2121017
UCE2-985	2	II	2182380
CE2-230	2	II	2218904
UCE2-1054	2	II	2301116
UCE2-1078	2	II	2354170
CE2-117	2	II	2482895
CE2-24	2	II	2486663
UCE2-1120	2	II	2601220
UCE2-1129	2	II	2688584
CE2-119	2	II	2691194
CE2-20	2	II	2749534
UCE2-1154	2	II	2795341
UCE2-1158	2	II	2808859
UCE2-1200	2	II	2933625
CE2-121	2	II	2947751
UCE2-1213	2	II	3001228
CE2-122	2	II	3044540
UCE2-1230	2	II	3093405
UCE2-1259	2	II	3254903
CE2-123	2	II	3272786
UCE2-1312	2	II	3397006
UCE2-1313	2	II	3397690
UCE2-1377	2	II	3576987
UCE2-1456	2	II	3703996
UCE2-1482	2	II	3729095
CE2-126	2	II	3729984
CE2-16	2	II	3828606
UCE2-1515	2	II	3968044
CE2-128	2	II	4003600
CE2-129	2	II	4092535
UCE2-1552	2	II	4145255
CE2-229	2	II	417416
CE2-130	2	II	4188424
UCE2-522	2	II	426625
CE2-131	2	II	4278694
UCE2-1559	2	II	4317270
CE2-2	2	II	4406589
UCE2-525	2	II	441358
CE2-132	2	II	4434620
UCE2-1577	2	II	4472001
CE2-133	2	II	4537330
CE2-134	2	II	4676304
UCE2-1582	2	II	4692073
UCE2-1586	2	II	4740943
CE2-242	2	II	4800881
UCE2-1597	2	II	4934764
UCE2-1602	2	II	5048629
UCE2-528	2	II	505542
CE2-235	2	II	5150074
CE2-137	2	II	5202399
UCE2-1610	2	II	5235792
CE2-138	2	II	5274777
CE2-8	2	II	5329529
CE2-102	2	II	534283
CE2-139	2	II	5351472
CE2-140	2	II	5401608
CE2-141	2	II	5598634
UCE2-1644	2	II	5860848
CE2-143	2	II	5862837
